CT282LP-C1,WILD NOTHING,Indigo (Indie only coloured vinyl),SD / Captured Tracks,Rock-Pop,INDIE ONLY,817949015657,LP, $19.00 ,Aug-18
COMLP4645,"WITT, ALICIA",Revisionary History,Compass Records,Rock-Pop,,766397464510,LP, $17.20 ,Apr-15
66397-4644-2,"WITT, ALICIA",Revisionary History,Compass Records,Rock-Pop,,766397464428,CD, $11.00 ,Apr-15
THRILL464L,WOODEN SHJIPS,V (Lavender Vinyl),Thrill Jockey,Rock-Pop,,790377464313,LP, $20.50 ,May-18
44110-0363-2,PHANTASTIC FERNITURE,Phantastic Ferniture,Polyvinyl,Rock-Pop,,644110036322,CD, $14.00 ,
PRC363,PHANTASTIC FERNITURE,Phantastic Ferniture,Polyvinyl,Rock-Pop,,644110036315,LP, $22.00 ,
34457-6285-2,"DEVANEY, DJ CHARLOTTE",Flip It! (ft. Snoop Dogg),Redeye / CMI World Wide,Electronic,,634457628526,CD, $7.96 ,Oct-13
34457-6037-2,KROOKED TREEZ,Higher Place,Redeye / CMI World Wide,Reggae,,634457603721,CD, $12.96 ,Jul-13
OCF1018,KROOKED TREEZ,Higher Place,Redeye / CMI World Wide,Reggae,,634457603714,LP, $18.95 ,Jul-13
BSCR015,"EYCK, CAROLINA",Fantasias for Theremin and String Quartet (translucent green LP),Redeye / Butterscotch Records,Classical Crossover,,634457738713,LP, $21.92 ,Oct-16
59708-7431-6,LOW CUT CONNIE,Call Me Sylvia,Redeye / Contender Records,Rock-Pop,,859708743166,CD, $11.98 ,Jul-12
47216-6095-2,KOENJIHYAKKEI,Nivraym,Redeye / SKiN GRAFT Records,Rock-Pop,,647216609520,CD, $12.96 ,Apr-09
34457-5504-2,VARIOUS ARTISTS,"Istanbul 70: Psych, Disco, Folk Classics",Redeye / Nublu,World,,634457550421,CD, $12.96 ,IMMEDIATE
23235-2111-2,"B-GIRLS, THE",Who Says Girls Can't Rock?,Redeye / Other Peoples Music,Rock-Pop,,623235211128,CD, $12.96 ,IMMEDIATE
ASR051,NORTHBOUND,Death Of A Slug,Redeye / Animal Style Records,Rock-Pop,,603111974415,LP, $15.20 ,Oct-15
BTV084,STARFLYER 59,Dial M ,Redeye / Burnt Toast Vinyl,Rock-Pop,,634457504219,LP, $16.89 ,IMMEDIATE
BTV089,MEWITHOUTYOU,It's All Crazy! It's All False It's All A Dream! It's Alright,Redeye / Burnt Toast Vinyl,Rock-Pop,,634457513716,LP, $19.90 ,IMMEDIATE
BW001,"HASUNUMA, SHUTA & U-ZHAAN",2 Tone,Redeye / Birdwatcher Records,Experimental / Noise,,754697444288,LP, $18.58 ,Apr-18
CON106,LOW CUT CONNIE,Call Me Sylvia,Redeye / Contender Records,Rock-Pop,,603967153415,LP, $19.93 ,Jul-12
GRA033,U.S. MAPLE,Long Hair In Three Stages,Redeye / SKiN GRAFT Records,Rock-Pop,,647216603313,LP, $17.97 ,Jun-13
SUS002,"GARZON-MONTANO, GABRIEL",Bishoune: Alma del Huila,Redeye / Styles Upon Styles,Soul / Funk / R&B,,819162016985,LP, $15.20 ,Jun-15
TE134,MANNEQUIN PUSSY,Gypsy Pervert,Redeye / Tiny Engines,Rock-Pop,,633757251410,LP, $17.97 ,Sep-14
